Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2008,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,16.559632999999998
2009,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,18.582512
2010,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,17.465079
2011,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,16.607541
2012,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,17.864088
2013,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,10.1
2014,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,9.5
2015,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,7.9
2016,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,10.1
2017,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,10.1
2018,A,N,SH_HAP_HBSAG,KG11,,PER_100000_POP,8.968212
2007,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,15.310366
2008,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,11.046411
2009,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,10.882674
2010,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,9.84267
2011,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,10.76723
2012,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,7.817766000000001
2013,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,7.4
2014,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,7.1
2015,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,4.6
2016,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,7.0
2017,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,7.6
2018,A,N,SH_HAP_HBSAG,KG11,F,PER_100000_POP,5.929539
2007,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,24.204157000000002
2008,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,22.932791
2009,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,27.489325
2010,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,26.266739
2011,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,23.342207000000002
2012,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,29.427859
2013,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,13.1
2014,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,12.3
2015,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,11.8
2016,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,13.7
2017,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,12.9
2018,A,N,SH_HAP_HBSAG,KG11,M,PER_100000_POP,12.420425
2007,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,40.964579
2008,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,24.854561999999998
2009,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,23.592385
2010,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,13.593447
2011,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,19.152071
2012,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,29.440247999999997
2013,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,21.3
2014,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,24.7
2015,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,22.3
2016,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,14.0
2017,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,4.9
2018,A,N,SH_HAP_HBSAG,KG21,,PER_100000_POP,7.479508
2007,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,35.243744
2008,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,19.402116
2009,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,14.139323999999998
2010,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,11.947431
2011,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,11.255262
2012,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,20.837209
2013,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,12.4
2014,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,20.9
2015,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,14.9
2016,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,12.5
2017,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,4.1
2018,A,N,SH_HAP_HBSAG,KG21,F,PER_100000_POP,3.953533
2007,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,47.169044
