Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.URBANISATION,Units,Value
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,39.824088
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,42.638658
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,46.284209
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,45.0267
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,51.7617
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,49.4
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,69.421773
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,83.854909
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,61.635086
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,56.394478
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,64.607909
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,41.085248
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,44.647005
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,54.995283
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,46.270674
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,45.332789
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,53.95726
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,55.074815
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,50.991559
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,49.875233
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,54.149214
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,50.007164
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,52.6105
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,41.3079
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,42.5
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,61.998935
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,79.954728
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,54.70914
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,61.826885
